Product_Name,Inventory_Value,Sales_Volume,Revenue_90%,Best_Seller
Sushi Rice,99.0,32.0,129.6,False
Arabica Coffee,900.0,85.0,1530.0,False
Black Rice,180.0,31.0,167.4,False
Long Grain Rice,18.0,95.0,128.25,False
Plum,148.0,62.0,223.20000000000002,False
All-Purpose Flour,96.25,34.0,53.550000000000004,False
Corn Oil,240.0,67.0,150.75,False
Egg (Goose),110.0,21.0,47.25,False
Greek Yogurt,273.0,56.0,151.20000000000002,False
Egg (Duck),43.0,27.0,24.3,False
Long Grain Rice,99.2,100.0,144.0,True
White Sugar,182.0,100.0,180.0,False
Rye Bread,78.0,47.0,126.9,False
Plum,380.0,69.0,248.4,False
Strawberries,324.0,63.0,340.2,False
Feta Cheese,658.0,20.0,126.0,False
Bread Flour,40.5,66.0,89.10000000000001,False
Swiss Cheese,392.0,78.0,561.6,False
Arabica Coffee,1100.0,46.0,828.0,False
White Sugar,130.0,29.0,52.2,False
Spinach,180.0,82.0,184.5,False
Trout,588.0,52.0,561.6,False
Green Beans,162.0,20.0,36.0,False
Cabbage,88.0,73.0,65.7,False
Parmesan Cheese,756.0,59.0,637.2,False
Raw Sugar,46.5,46.0,62.1,False
Egg (Quail),77.60000000000001,97.0,69.84,False
Mushrooms,432.0,94.0,507.6,False
Oatmeal Biscuit,80.0,50.0,225.0,False
Pear,346.5,61.0,247.05,False
Cucumber,33.25,31.0,48.825,False
Pineapple,63.0,42.0,132.3,False
Olive Oil,282.0,42.0,226.8,False
Herbal Tea,2310.0,25.0,675.0,False
Haddock,414.0,65.0,526.5,False
Onion,78.0,60.0,108.0,False
Sushi Rice,337.5,43.0,174.15,False
Pineapple,165.60000000000002,51.0,158.35500000000002,False
Zucchini,152.5,79.0,177.75,False
Short Grain Rice,180.0,47.0,126.9,False
Mango,120.0,39.0,175.5,False
Lemon,27.599999999999998,66.0,136.61999999999998,False
Black Coffee,1260.0,25.0,337.5,False
Butter,153.0,40.0,108.0,False
Multigrain Bread,227.5,32.0,100.8,False
Long Grain Rice,100.5,66.0,89.10000000000001,False
Bread Flour,21.0,37.0,49.95,False
Kiwi,270.0,44.0,237.6,False
Mango,460.0,24.0,108.0,False
Sourdough Bread,164.0,42.0,151.20000000000002,False
Short Grain Rice,184.5,38.0,153.9,False
Orange,255.0,95.0,256.5,False
Pineapple,149.6,96.0,293.76,False
White Bread,230.0,61.0,137.25,False
Green Coffee,744.0,35.0,378.0,False
Zucchini,65.0,57.0,128.25,False
Sourdough Bread,265.5,32.0,129.6,False
Orange,255.2,63.0,164.43,False
Sardines,546.0,30.0,162.0,False
Olive Oil,168.0,38.0,205.20000000000002,False
Carrot,76.5,44.0,59.4,False
Black Tea,230.0,64.0,288.0,False
Pear,364.90000000000003,30.0,120.15,False
Olive Oil,600.0,84.0,453.6,False
Ricotta Cheese,306.0,54.0,291.6,False
Black Coffee,915.0,67.0,904.5,False
White Tea,2475.0,93.0,2092.5,False
Cucumber,23.400000000000002,44.0,71.28,False
Mozzarella Cheese,315.0,83.0,522.9,False
Broccoli,292.0,47.0,169.20000000000002,False
Eggplant,117.0,51.0,137.70000000000002,False
Trout,348.0,85.0,918.0,False
Heavy Cream,48.0,20.0,72.0,False
Bell Pepper,427.20000000000005,74.0,296.37,False
Onion,70.0,76.0,136.8,False
Sardines,534.0,60.0,324.0,False
Mango,270.0,26.0,105.3,False
Arborio Rice,90.0,50.0,202.5,False
Potato,33.6,30.0,32.4,False
Corn Oil,50.0,86.0,193.5,False
Butter Biscuit,228.0,67.0,361.8,False
Peas,297.0,50.0,135.0,False
Cream,230.0,72.0,162.0,False
Spinach,98.39999999999999,59.0,127.44,False
Sardines,264.0,90.0,486.0,False
White Sugar,94.0,29.0,52.2,False
Bread Flour,31.5,38.0,51.300000000000004,False
Cucumber,153.0,64.0,103.68,False
Swiss Cheese,232.0,59.0,424.8,False
Peanut Oil,256.0,51.0,183.6,False
Blueberries,660.0,24.0,216.0,False
Chocolate Biscuit,375.0,69.0,310.5,False
Cheese,477.0,56.0,453.6,False
Palm Oil,77.4,33.0,53.46,False
Eggplant,222.0,82.0,221.4,False
Garlic,189.0,91.0,573.3000000000001,False
Jasmine Rice,432.25,51.0,218.025,False
Rice Flour,104.0,95.0,171.0,False
Zucchini,107.5,66.0,148.5,False
Multigrain Bread,179.20000000000002,67.0,192.96,False
Ricotta Cheese,396.0,43.0,232.20000000000002,False
Bread Flour,126.0,92.0,124.2,False
Cottage Cheese,185.0,68.0,306.0,False
Whipped Cream,116.0,60.0,216.0,False
Almond Flour,123.5,24.0,205.20000000000002,False
Lemon,157.5,56.0,126.0,False
Tilapia,665.0,61.0,384.3,False
Lettuce,116.0,53.0,95.4,False
Peanut Oil,228.0,56.0,201.6,False
Sardines,198.0,98.0,529.2,False
Arabica Coffee,1240.0,23.0,414.0,False
Coconut,445.0,38.0,171.0,False
Cod,184.0,63.0,453.6,False
Banana,5512.08,35.0,3100.545,False
Black Rice,524.6,80.0,439.2,False
Pomegranate,360.0,96.0,518.4,False
Pineapple,245.0,44.0,138.6,False
Peach,188.0,93.0,334.8,False
Arborio Rice,427.5,60.0,243.0,False
Plum,77.0,61.0,211.365,False
Sushi Rice,81.7,58.0,224.45999999999998,False
Arabica Coffee,1554.0,83.0,1568.7,False
Pear,274.5,24.0,97.2,False
Sourdough Bread,136.0,28.0,100.8,False
Pear,130.5,31.0,125.55,False
Heavy Cream,58.800000000000004,28.0,105.84,False
White Rice,36.0,62.0,100.44000000000001,False
Cauliflower,128.0,21.0,60.480000000000004,False
Canola Oil,209.29999999999998,43.0,89.00999999999999,False
Avocado Oil,990.0,94.0,846.0,False
Bread Flour,51.0,49.0,66.15,False
Gouda Cheese,700.0,20.0,126.0,False
Black Rice,474.0,26.0,140.4,False
Greek Yogurt,186.0,50.0,135.0,False
Tuna,450.0,36.0,583.2,False
Buttermilk,117.5,48.0,108.0,False
Orange,45.0,56.0,151.20000000000002,False
Pomegranate,114.0,59.0,318.6,False
Tuna,1044.0,25.0,405.0,False
Sour Cream,44.0,84.0,302.40000000000003,False
Rice Flour,198.0,36.0,64.8,False
Long Grain Rice,39.0,76.0,102.60000000000001,False
Bell Pepper,315.0,23.0,93.15,False
Bell Pepper,225.0,69.0,279.45,False
Pineapple,192.5,81.0,255.15,False
Cod,248.0,41.0,295.2,False
Green Tea,504.0,93.0,669.6,False
Sardines,438.0,22.0,118.8,False
Sourdough Bread,48.0,75.0,270.0,False
Short Grain Rice,159.0,44.0,118.8,False
Powdered Sugar,170.0,69.0,155.25,False
Swiss Cheese,648.0,54.0,393.65999999999997,False
Tuna,1656.0,40.0,648.0,False
Cucumber,55.800000000000004,91.0,147.42000000000002,False
Eggplant,93.0,46.0,124.2,False
Garlic,532.0,52.0,327.6,False
Vegetable Oil,114.0,89.0,160.20000000000002,False
Whipped Cream,368.0,43.0,154.8,False
Cheddar Cheese,792.0,79.0,639.9,False
Coconut,495.0,41.0,184.5,False
Egg (Turkey),110.0,51.0,114.75,False
Herbal Tea,1488.0,70.0,1953.0,False
Sesame Oil,175.5,29.0,169.65,False
Black Rice,209.10000000000002,90.0,498.15000000000003,False
Orange,123.0,88.0,237.6,False
Black Tea,280.0,52.0,234.0,False
Asparagus,110.0,98.0,441.0,False
Palm Oil,72.0,71.0,115.02,False
Swiss Cheese,400.0,42.0,302.40000000000003,False
Mango,427.2,46.0,198.72,False
Egg (Turkey),190.0,69.0,155.25,False
Whole Wheat Flour,184.25,30.0,74.25,False
Robusta Coffee,620.0,62.0,558.0,False
Watermelon,225.0,90.0,243.0,False
Green Coffee,937.5,33.0,371.25,False
Cream,72.5,64.0,144.0,False
Oatmeal Biscuit,170.0,77.0,346.5,False
Green Tea,120.0,60.0,432.0,False
Anchovies,880.0,98.0,882.0,False
Cheddar Cheese,360.0,40.0,324.0,False
Avocado Oil,100.0,24.0,216.0,False
Arabica Coffee,441.0,20.0,378.0,False
Trout,900.0,89.0,961.2,False
Cod,448.0,99.0,712.8000000000001,False
Rye Bread,207.0,98.0,264.6,False
Basmati Rice,252.0,69.0,279.45,False
White Sugar,48.0,20.0,36.0,False
Sourdough Bread,135.0,32.0,129.6,False
White Tea,900.0,35.0,787.5,False
White Bread,232.5,76.0,171.0,False
Mozzarella Cheese,672.0,72.0,453.6,False
Peanut Oil,240.0,94.0,338.40000000000003,False
Gouda Cheese,679.0,43.0,270.90000000000003,False
Chocolate Biscuit,55.0,88.0,396.0,False
Pomegranate,84.0,86.0,464.40000000000003,False
Sunflower Oil,220.0,25.0,56.25,False
Jasmine Rice,114.0,35.0,149.625,False
Haddock,837.0,78.0,631.8000000000001,False
Black Rice,408.0,37.0,199.8,False
Rye Bread,78.39999999999999,31.0,78.12,False
Lime,42.0,43.0,77.4,False
Pomegranate,552.0,32.0,172.8,False
Robusta Coffee,680.0,39.0,351.0,False
